1649_at,1704_at,1786_at,31342_at,31386_at,31858_at,32174_at,32321_at,33206_at,33782_r_at,33813_at,33829_at,34362_at,35231_at,35297_at,36921_at,37200_at,37918_at,38115_at,38286_at,38752_r_at,38774_at,38790_at,38833_at,39588_at,39649_at,39693_at,39721_at,41779_at,824_at,label
124.16,35.67,70.74,60.96,24.33,42.25,17.4,174.56,123.04,204.25,89.7,55.76,20.43,10.0,185.21,33.77,89.18,58.19,85.29,69.79,819.87,63.9,26.15,630.86,33.51,18.88,48.75,24.07,99.14,23.55,1
129.48,44.94,36.58,32.4,54.65,20.69,280.17,142.85,224.78,185.28,50.89,39.61,76.6,22.47,159.36,10.0,59.04,27.28,96.98,283.62,851.37,57.89,11.18,309.64,10.56,36.47,10.0,99.17,13.48,29.99,1
178.44,22.53,48.65,12.78,71.29,59.41,152.32,317.2,194.35,26.9,119.48,150.31,107.26,64.56,258.24,138.31,281.44,168.46,212.4,242.1,1050.9,98.19,98.97,1162.4,48.42,173.62,51.56,30.04,68.93,33.51,1
64.95,37.93,64.3,50.79,89.53,50.95,281.12,310.42,207.54,122.25,127.13,107.27,137.87,63.48,171.57,76.99,120.78,63.0,55.34,175.96,661.53,42.32,102.55,667.23,55.51,202.5,46.88,49.97,19.7,74.72,1
11.7,36.2,12.9,11.4,10.0,10.0,68.1,40.7,71.1,26.1,32.8,10.0,10.0,10.0,32.3,10.0,15.9,10.0,10.0,10.0,144.9,17.7,10.0,173.1,10.0,10.0,10.0,10.0,10.0,10.0,0
72.93,10.0,54.22,23.51,34.13,25.87,11.35,203.31,38.25,10.0,88.17,47.74,20.27,42.54,74.78,61.06,73.36,39.63,50.95,28.24,390.58,27.37,26.49,727.59,16.38,55.6,27.88,34.61,21.8,26.09,0
49.66,35.55,44.58,23.22,12.98,10.0,137.6,84.64,150.26,43.29,14.67,13.06,70.05,12.98,35.07,48.45,10.88,10.0,48.53,103.34,106.16,75.86,35.07,81.66,12.66,47.8,32.65,10.0,11.93,10.0,0
24.15,47.43,30.73,36.33,35.51,15.61,65.05,83.86,81.96,108.61,65.81,31.44,54.82,44.6,38.07,44.11,61.35,35.95,25.07,49.38,10.0,70.21,18.17,160.98,13.92,78.21,27.14,13.16,41.5,10.0,0
12.46,32.39,10.0,12.79,24.92,26.4,81.0,16.81,70.43,10.0,33.21,10.0,12.63,55.34,37.22,10.0,10.0,10.0,24.76,36.32,86.58,10.0,12.46,28.45,10.0,85.43,10.0,10.0,51.98,17.3,0
117.0,10.7,53.63,24.35,10.0,10.0,28.92,86.76,138.18,49.28,38.29,10.0,56.58,18.15,26.71,16.6,46.48,23.16,23.16,71.04,112.95,51.35,10.0,158.91,27.0,23.68,10.0,10.0,12.62,10.0,0
20.58,28.73,15.08,10.66,10.0,10.0,57.39,17.59,46.86,10.0,18.07,10.0,33.89,10.0,35.45,10.0,10.0,10.0,10.0,48.36,415.92,13.92,10.39,165.99,10.0,81.7,10.0,10.0,10.0,10.0,0
68.18,37.91,26.37,32.0,19.83,35.03,26.37,186.67,29.81,98.12,66.53,42.35,52.1,10.0,126.28,67.72,51.97,40.15,51.42,67.35,400.44,17.9,10.0,201.41,32.69,31.82,42.4,10.0,33.15,29.21,0
45.59,10.0,16.96,23.61,28.51,15.26,10.0,77.55,34.41,10.0,52.62,16.26,22.54,10.05,114.67,17.02,22.67,14.88,45.59,25.18,385.06,20.6,10.0,288.92,11.05,23.74,19.97,10.0,21.04,10.0,0
30.37,10.0,19.09,12.41,19.91,26.4,35.63,63.94,75.29,133.08,21.37,66.69,29.87,33.08,137.18,61.33,40.06,24.65,37.94,22.99,574.2,44.56,10.59,118.1,27.52,21.27,15.38,26.13,21.5,26.53,0
22.28,10.0,17.64,10.0,49.15,10.0,33.0,27.44,37.81,37.11,26.87,23.94,38.29,28.62,106.17,18.43,38.08,19.34,58.08,36.06,391.91,19.61,10.77,101.14,10.0,24.11,10.0,10.0,32.56,10.0,0
11.09,20.08,17.42,31.95,12.09,10.0,12.93,48.82,70.78,57.64,26.18,21.58,24.19,10.0,93.42,27.74,21.86,21.02,36.78,10.0,424.47,10.0,10.0,98.63,21.47,10.0,10.71,31.29,20.19,18.25,0
22.38,10.0,43.49,24.88,24.3,10.0,17.85,78.78,23.72,19.42,86.22,27.85,16.22,27.33,76.75,56.46,88.2,32.5,67.56,24.77,253.96,31.75,10.0,228.61,24.71,30.0,23.43,10.0,13.61,27.5,0
83.72,10.0,79.31,25.22,12.23,20.54,19.69,116.45,171.77,10.0,25.73,32.73,58.11,32.5,67.82,10.33,31.49,28.59,55.36,188.29,234.33,53.66,56.72,213.01,10.0,19.77,29.75,35.94,20.62,21.63,0
