40768_s_at,661_at,1562_g_at,424_s_at,1649_at,36040_at,34715_at,32314_g_at,39542_at,34768_at,1566_at,824_at,614_at,36861_at,37403_at,39572_at,2089_s_at,39591_s_at,1124_at,39696_at,925_at,32245_at,234_s_at,33242_at,40044_at,37852_at,37402_at,37326_at,841_at,40145_at,33936_at,1708_at,40766_at,1890_at,40512_at,37053_at,31342_at,34443_at,39242_at,38116_at,1586_at,33235_at,36736_f_at,36101_s_at,39388_at,41475_at,41123_s_at,38004_at,37393_at,40163_r_at,39540_at,38248_at,34922_at,41356_at,34526_s_at,AFFX-M27830_5_at,33303_at,38743_f_at,34889_at,1237_at,32138_at,36115_at,37051_at,39775_at,1346_at,33883_at,2036_s_at,1603_g_at,38407_r_at,34674_at,37960_at,37062_at,38370_at,1517_at,39341_at,1650_g_at,41055_at,33813_at,31528_f_at,34666_at,918_at,36617_at,1942_s_at,39829_at,36927_at,33133_at,33825_at,35663_at,31814_i_at,37841_at,311_s_at,36119_at,1537_at,33226_at,36834_at,40542_at,35773_i_at,32646_at,31745_at,32307_s_at,label
10.0,23.11,32.39,168.8,64.95,66.41,33.21,28.0,1039.2,24.74,107.11,74.72,10.0,10.0,10.0,12.05,110.36,25.56,80.25,19.21,264.84,10.0,579.16,22.46,10.0,10.0,275.91,97.18,67.23,20.51,31.25,121.76,199.24,26.7,179.71,80.74,50.79,46.88,118.18,10.0,199.4,67.23,35.49,10.0,153.17,25.88,409.55,10.0,26.37,10.0,65.44,115.73,25.56,50.62,69.83,81.71,16.44,13.02,114.11,10.0,571.19,48.02,77.48,772.05,1748.9,10.0,10.0,46.23,1373.7,70.32,10.0,127.62,51.44,20.67,46.72,10.0,62.83,127.13,86.27,100.76,164.57,215.84,176.78,11.07,76.67,10.0,439.5,38.74,76.18,35.81,103.2,17.91,179.71,10.0,36.63,55.83,10.0,153.82,128.27,20.02,1
10.0,10.0,30.5,10.0,11.7,13.8,10.0,10.0,58.7,10.0,21.3,10.0,10.0,10.0,10.0,60.1,10.0,10.0,47.1,10.2,44.0,20.6,187.1,12.2,13.4,10.0,14.8,10.0,99.6,10.0,10.0,26.7,10.0,34.3,17.1,25.0,11.4,26.5,10.0,10.0,67.8,10.0,10.0,17.5,35.8,10.0,10.0,10.0,10.0,10.0,10.0,19.2,10.0,10.0,28.5,82.6,11.0,10.0,10.0,10.0,27.5,26.3,17.0,55.7,274.3,17.1,10.0,13.7,16.7,10.0,10.0,10.0,10.0,49.6,32.5,10.0,15.3,32.8,14.9,10.0,21.6,325.7,35.9,21.7,10.0,10.0,62.4,10.0,10.0,46.0,71.8,16.0,233.8,61.6,10.0,54.7,10.0,112.0,81.9,11.0,0
11.1,28.53,18.2,147.31,72.93,35.95,12.12,26.31,142.43,61.17,10.0,26.09,552.08,14.59,63.25,10.0,10.0,19.72,29.66,10.0,392.25,24.09,557.35,14.37,25.84,10.0,264.27,212.96,11.86,15.61,28.17,24.38,146.47,124.82,20.49,10.66,23.51,10.0,18.09,23.91,586.9,10.0,660.7,377.66,28.49,12.56,20.45,10.01,83.26,64.16,11.72,29.84,10.0,10.66,10.0,113.5,22.6,72.13,53.49,43.16,39.19,34.32,21.83,822.64,873.04,23.8,65.5,32.13,10.0,10.99,31.73,10.0,10.0,10.0,171.91,111.21,10.0,88.17,10.0,102.91,10.0,271.98,88.9,186.65,163.87,35.37,391.52,10.0,10.0,31.01,377.08,39.08,775.15,33.95,10.0,10.0,43.05,23.47,40.61,50.0,0
10.0,16.53,89.24,52.88,49.66,39.42,10.0,15.4,858.43,10.0,63.84,10.0,10.0,10.0,10.0,18.54,114.71,10.0,63.28,14.83,14.59,10.0,149.53,23.3,10.0,80.85,140.1,12.17,49.98,10.0,36.52,110.36,179.36,34.99,370.73,141.07,23.22,19.19,78.6,10.0,79.48,77.47,15.64,19.02,179.52,10.0,474.72,10.0,10.0,30.23,84.88,157.27,35.31,53.28,121.72,10.0,26.04,18.3,136.55,21.2,633.92,10.0,27.57,187.9,664.8,36.03,10.0,10.0,1013.4,48.77,10.0,86.74,157.43,10.0,23.7,50.14,138.49,14.67,10.0,22.49,286.57,71.58,14.11,25.39,26.04,10.0,84.88,52.72,39.5,10.0,28.46,19.83,46.67,20.31,14.27,14.43,10.0,240.22,35.79,10.0,0
30.4,34.21,27.68,184.75,24.15,33.72,65.7,22.41,171.32,76.69,42.04,10.0,10.0,99.09,17.73,35.13,53.63,10.0,10.0,36.44,94.63,15.5,346.77,10.0,10.0,10.0,24.31,57.32,145.76,59.55,34.75,47.59,632.02,61.57,14.63,64.61,36.33,71.9,15.88,12.94,115.79,95.01,10.0,118.29,12.78,10.0,36.82,92.02,53.41,115.19,10.0,21.48,63.8,12.29,10.0,10.0,29.04,44.43,108.45,19.14,155.71,10.0,13.76,338.77,448.8,24.31,49.06,10.0,140.59,10.0,38.72,11.69,30.78,22.46,92.4,26.7,40.84,65.81,25.4,42.31,28.5,64.23,69.89,106.6,14.96,19.85,876.22,11.15,37.74,56.56,1140.0,59.39,14.68,34.1,10.0,21.1,13.27,162.56,31.76,263.18,0
35.09,16.89,52.72,20.83,12.46,49.36,224.32,15.41,437.08,75.1,49.6,17.3,10.0,15.66,10.0,29.93,10.0,10.0,44.44,150.61,65.67,39.85,72.15,12.87,56.57,10.0,10.0,237.93,10.0,264.9,10.0,26.15,10.0,10.0,37.3,29.35,12.79,10.0,42.39,126.18,49.11,13.69,46.49,96.17,66.9,30.91,10.0,10.0,47.8,163.07,10.0,93.71,10.0,12.87,10.0,35.5,10.0,109.13,72.81,10.0,216.04,33.94,10.0,206.36,101.17,114.95,10.0,33.04,10.0,10.0,11.07,15.0,130.36,10.0,46.08,10.0,40.83,33.21,74.77,10.0,24.76,159.06,176.03,48.21,10.0,32.96,48.95,911.21,28.29,37.22,195.05,10.0,35.17,15.99,10.0,10.0,10.0,73.38,55.1,258.92,0
17.78,250.24,11.8,62.12,117.0,18.59,12.39,15.35,127.92,49.43,36.08,10.0,10.0,10.0,20.14,10.0,10.0,10.0,10.62,10.0,47.58,58.87,519.95,10.0,11.73,10.0,17.71,14.39,45.96,11.58,26.56,30.54,176.83,14.31,38.07,45.15,24.35,30.54,10.0,10.0,161.19,41.17,22.43,15.71,41.98,10.0,23.83,11.58,23.24,49.87,16.97,40.35,10.0,14.46,15.79,10.0,21.62,50.02,70.9,10.0,73.7,10.0,11.8,131.39,831.19,10.0,12.47,11.29,31.28,10.0,10.0,15.2,15.49,27.0,111.91,194.54,14.24,38.29,10.0,23.76,47.14,131.24,500.54,19.33,99.3,23.61,228.1,19.4,41.09,39.32,151.01,35.41,139.95,37.62,96.72,10.0,10.0,72.3,70.75,18.81,0
10.0,15.49,12.84,10.0,20.58,10.0,10.0,10.0,81.3,10.0,23.23,10.0,10.0,10.0,10.0,62.69,14.6,10.0,28.87,10.0,10.0,10.0,135.77,13.18,34.16,10.0,10.0,22.35,99.23,10.0,10.0,22.68,10.0,38.65,10.0,45.3,10.66,10.0,15.69,10.0,80.55,10.0,10.0,10.0,35.72,10.0,10.0,10.0,10.0,20.38,10.0,10.0,10.0,10.0,55.42,161.51,10.0,19.83,19.76,10.0,62.89,33.48,63.71,94.81,168.09,10.0,10.0,13.65,192.27,10.0,10.0,10.0,10.0,52.64,45.3,10.0,10.0,18.07,11.55,10.0,28.8,685.14,15.96,10.0,10.0,10.0,25.88,10.0,10.0,30.02,31.38,10.0,165.78,29.2,13.65,72.47,10.0,167.48,135.83,10.0,0
31.64,71.11,10.0,153.7,68.18,38.05,31.55,19.14,250.45,50.82,10.0,29.21,95.83,24.91,81.41,10.0,10.0,10.0,20.6,10.0,174.35,43.68,316.65,14.15,41.3,10.0,33.06,184.88,36.13,30.17,23.72,40.02,333.09,17.44,24.04,12.41,32.0,17.72,10.53,40.66,229.8,10.0,31.87,115.38,28.71,11.36,10.0,13.69,100.5,16.21,10.0,20.92,10.0,16.99,10.0,10.0,19.78,67.26,34.75,80.45,96.2,20.15,20.05,694.07,848.32,13.87,51.37,37.18,10.0,10.0,13.97,10.0,28.98,10.0,214.37,92.81,12.73,66.53,13.23,120.87,10.0,253.74,90.15,85.12,134.75,18.04,555.29,10.0,10.0,47.89,396.78,10.0,341.79,22.02,63.92,10.0,47.98,35.62,10.0,69.73,0
19.78,42.01,16.2,104.81,45.59,23.8,73.53,23.42,304.12,81.82,10.0,10.0,10.0,16.58,112.78,10.0,10.0,10.0,31.52,19.28,153.72,35.98,598.44,19.28,41.63,10.0,38.37,81.2,57.9,45.9,10.0,18.34,233.73,49.48,10.0,13.75,23.61,28.64,10.0,49.48,108.07,10.0,19.47,173.32,17.77,10.0,10.0,10.0,122.51,99.41,10.0,13.94,10.0,13.44,10.0,10.0,10.0,85.28,30.58,27.88,55.26,23.05,15.83,220.79,1083.0,20.16,12.18,24.05,19.28,10.0,10.0,10.0,10.11,10.0,147.57,59.34,24.87,52.62,32.4,12.81,14.0,44.84,92.25,61.54,31.59,19.34,439.57,10.0,26.19,33.09,227.45,10.0,473.67,47.35,42.89,11.68,43.96,26.25,40.44,86.72,0
18.86,127.66,14.69,88.19,30.37,67.75,36.95,49.32,242.01,71.12,10.0,26.53,10.0,10.0,102.85,23.82,10.0,10.0,10.42,80.62,70.99,43.53,745.43,22.3,10.0,10.0,72.68,209.93,68.48,28.32,31.1,16.31,110.09,91.3,35.53,17.27,12.41,14.09,26.23,42.97,445.75,10.0,86.41,299.31,25.11,12.41,55.54,88.16,54.12,11.35,18.13,34.47,14.13,10.0,10.0,14.09,21.14,66.69,64.28,10.0,66.72,16.67,10.72,273.94,2000.7,25.51,20.28,36.36,148.4,10.69,15.75,12.6,38.67,12.77,225.77,72.84,58.68,21.37,10.0,23.79,11.12,388.13,85.81,177.74,12.41,19.48,1114.0,10.0,37.41,80.25,280.16,56.1,630.84,42.11,121.37,15.75,69.93,33.94,32.78,51.77,0
18.47,250.59,61.27,122.98,22.28,38.6,95.23,11.6,192.78,21.84,10.0,10.0,10.0,13.44,26.08,16.37,13.61,10.0,41.1,26.83,84.95,10.0,451.21,16.02,31.86,10.0,30.37,93.31,221.05,68.1,10.0,30.72,20.04,63.9,26.04,25.03,10.0,39.39,20.18,69.8,144.51,10.0,19.08,398.52,15.54,22.58,10.0,43.41,47.05,10.0,10.0,56.76,10.0,10.0,10.0,10.0,13.61,123.07,41.27,14.18,108.97,10.0,16.89,137.46,826.14,49.15,10.0,36.5,38.34,11.64,10.0,11.82,25.08,17.29,92.61,18.6,74.36,26.87,13.87,10.0,25.91,80.88,114.57,102.19,17.37,11.12,105.91,10.0,10.0,66.61,122.63,10.0,74.36,101.66,10.0,31.77,41.93,69.76,40.7,14.97,0
10.0,253.23,10.0,123.37,11.09,10.0,59.08,21.19,149.66,68.23,11.09,18.25,10.0,10.0,32.67,10.0,10.0,10.0,26.63,10.0,83.6,41.83,391.41,11.32,20.86,10.0,13.42,59.97,100.9,45.65,10.0,10.0,47.6,41.38,27.51,10.0,31.95,68.51,19.42,37.5,219.23,10.0,17.31,246.96,22.52,10.0,10.0,37.44,86.7,36.67,10.0,17.2,18.86,10.0,10.0,10.0,10.0,79.27,12.32,10.0,28.18,10.0,10.0,303.88,1323.5,21.47,10.0,25.46,10.0,10.0,12.81,10.0,10.93,12.65,122.82,10.0,17.97,26.18,10.0,23.35,15.26,237.42,120.37,84.98,21.58,15.2,113.77,10.0,26.46,80.43,296.83,10.0,842.23,64.13,66.51,10.0,84.43,41.11,10.0,29.51,0
41.57,111.11,19.88,89.83,22.38,30.23,20.18,102.15,191.75,39.42,10.0,27.5,10.0,70.18,78.43,12.97,48.32,10.0,10.0,43.66,218.44,33.49,523.21,13.95,35.41,10.0,148.67,135.29,139.25,17.15,11.16,22.15,109.42,16.51,10.0,18.31,24.88,46.75,30.82,10.06,467.16,10.0,44.25,109.07,19.71,28.08,35.41,10.06,43.37,69.83,15.58,16.57,47.97,14.07,10.0,10.0,10.0,128.26,55.12,25.7,137.62,24.19,17.85,484.95,451.06,39.89,16.92,37.91,106.8,61.98,28.72,10.0,25.93,10.0,73.2,23.55,47.27,86.22,61.16,10.0,30.64,193.49,126.51,57.27,15.47,29.42,276.93,10.0,10.0,80.12,293.79,35.87,56.63,41.98,10.0,10.0,69.3,129.19,50.47,49.59,0
10.0,62.91,30.8,10.0,83.72,43.29,10.0,10.41,198.89,26.08,38.84,21.63,10.0,10.0,10.0,44.18,25.11,10.0,46.46,29.79,81.44,58.38,127.05,21.98,16.87,27.89,42.98,21.9,236.19,10.0,14.62,80.28,306.41,15.79,36.83,48.17,25.22,61.78,39.66,10.0,81.13,17.49,21.36,10.0,72.5,61.71,57.3,10.0,60.2,10.0,10.0,40.93,10.0,10.68,11.41,10.0,107.98,87.78,79.31,41.59,95.91,12.65,121.67,97.76,261.57,25.65,18.45,25.07,398.6,13.77,12.69,10.0,56.91,10.0,39.69,98.11,14.55,25.73,10.0,21.39,46.43,393.53,74.98,17.68,90.22,12.34,52.93,10.0,10.0,73.58,90.18,23.68,182.92,58.69,10.0,41.24,26.35,93.32,10.0,10.0,0
