1063_s_at,1346_at,1511_at,1517_at,1537_at,1731_at,1737_s_at,1751_g_at,1752_at,1771_s_at,183_at,1942_s_at,1968_g_at,2075_s_at,2089_s_at,280_g_at,31330_at,31555_at,31692_at,31719_at,31720_s_at,31745_at,31904_at,31990_at,32002_at,32062_at,32100_r_at,32154_at,32238_at,32607_at,32623_at,32749_s_at,32786_at,33131_at,33158_at,33226_at,33242_at,33266_at,33274_f_at,33293_at,33303_at,33436_at,33764_at,33782_r_at,33813_at,33925_at,34088_at,34390_at,34407_at,34715_at,34722_at,35147_at,35174_i_at,35474_s_at,35670_at,35817_at,35897_r_at,35917_at,36018_at,36134_at,36148_at,36155_at,36156_at,36197_at,36364_at,36491_at,36617_at,36618_g_at,36678_at,36736_f_at,36823_at,36958_at,37149_s_at,37183_at,37191_at,37209_g_at,37344_at,37351_at,37360_at,37516_at,37985_at,38052_at,38079_at,38118_at,38174_at,38194_s_at,38406_f_at,38407_r_at,38524_at,38551_at,38752_r_at,38833_at,38855_s_at,39014_at,39026_r_at,39182_at,39322_at,39333_at,39338_at,39531_at,39542_at,39593_at,39657_at,39681_at,39720_g_at,40042_r_at,40075_at,40078_at,40422_at,40483_at,40543_at,40544_g_at,40619_at,40624_at,40767_at,40793_s_at,40839_at,41082_at,41098_at,41158_at,41164_at,41165_g_at,41202_s_at,41209_at,41214_at,41318_g_at,41401_at,41528_at,41624_r_at,41723_s_at,41870_at,41871_at,425_at,459_s_at,769_s_at,836_at,841_at,915_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-M27830_5_at,label
151.78,2866.5,10.0,85.46,2057.1,69.87,80.96,174.99,102.95,42.25,44.25,180.62,10.0,10.0,14.63,39.66,1510.8,21.39,80.44,493.88,589.12,10.0,15.33,63.21,10.0,203.13,87.71,45.72,14.11,66.84,436.65,1181.5,104.85,151.44,21.82,61.91,25.02,135.77,10.0,143.9,10.13,623.76,10.0,204.25,89.7,51.0,113.86,10.0,87.71,102.86,55.24,78.97,40.18,10.0,14.29,13.77,110.66,278.63,15.15,55.59,137.32,285.3,238.8,362.36,47.02,101.3,117.5,34.98,704.8,40.35,23.12,744.54,10.0,398.12,42.25,24.5,169.1,43.38,305.04,10.0,90.91,27.71,58.27,120.01,49.7,10.0,84.85,10.0,95.59,23.81,819.87,630.86,30.22,538.47,62.43,427.38,90.83,159.06,376.64,103.12,628.43,10.0,10.0,123.21,25.02,10.0,10.0,11.0,805.5,617.0,70.57,295.43,330.58,368.94,10.0,148.06,299.06,191.96,21.47,94.9,10.0,10.0,223.91,482.71,284.86,23.98,195.51,62.86,203.82,322.18,150.14,218.28,303.22,102.43,1627.1,39.05,159.32,183.13,158.62,10.0,1
29.99,840.82,70.96,49.74,274.0,272.96,72.32,293.13,53.61,139.2,44.2,1738.7,18.5,54.97,28.95,31.25,1502.8,73.36,98.34,497.32,526.9,83.92,43.16,21.53,10.0,27.8,71.9,23.51,21.63,325.1,552.71,594.51,102.83,514.67,400.24,87.05,23.2,59.88,10.0,146.93,33.13,337.23,327.93,185.28,50.89,10.0,130.63,10.0,24.56,13.9,31.25,53.4,41.28,10.0,94.26,18.18,10.0,310.89,27.8,98.23,332.32,296.37,77.02,10.0,38.14,131.36,1069.4,508.09,181.1,34.59,45.15,94.05,10.0,54.45,98.96,15.47,69.29,51.42,149.12,10.0,20.38,10.0,31.66,64.9,90.29,10.0,774.36,182.46,204.51,17.45,851.37,309.64,60.61,84.12,185.59,10.0,58.83,170.34,202.84,52.98,234.19,10.0,14.42,91.44,47.24,63.43,15.68,10.0,96.14,506.94,49.64,264.81,138.26,708.83,17.03,58.94,104.19,335.03,434.94,136.06,10.0,10.0,1410.8,334.51,313.4,52.98,21.74,48.59,152.47,85.8,10.0,25.81,18.29,57.16,503.7,164.38,304.62,29.05,24.56,10.0,1
80.37,3699.5,10.0,10.0,375.6,83.5,81.37,10.0,31.61,18.61,23.99,373.91,10.31,10.0,10.0,10.0,1593.5,37.66,83.84,447.33,462.24,86.87,12.55,10.0,82.49,189.76,196.04,10.0,280.1,236.05,308.23,1015.7,51.56,147.28,339.39,60.86,36.76,81.15,10.0,129.01,54.59,350.26,72.86,26.9,119.48,91.8,94.38,20.85,174.4,11.77,50.1,98.52,156.13,10.0,112.42,559.3,10.0,571.07,32.84,74.42,445.42,282.68,3067.5,878.18,10.09,49.88,148.51,51.78,857.22,37.44,42.37,257.91,795.91,104.8,175.52,23.09,271.13,154.0,59.29,10.0,34.86,32.73,109.06,211.39,69.61,10.0,2033.2,910.57,10.0,38.56,1050.9,1162.4,134.05,163.98,199.4,435.56,33.74,65.35,401.37,85.75,472.32,10.0,35.76,124.19,44.05,194.58,127.44,23.87,175.75,267.88,34.75,272.03,63.22,148.85,14.8,174.29,164.76,73.19,312.27,633.95,10.0,10.0,442.51,156.69,265.86,10.31,327.51,42.82,249.05,504.83,276.29,415.05,63.89,369.54,1827.4,57.61,30.15,68.93,36.09,12.55,1
36.95,1748.9,107.6,20.67,179.71,126.48,73.09,13.35,229.35,10.0,69.18,176.78,24.74,81.55,110.36,10.0,679.11,14.65,357.46,93.43,200.22,128.27,189.31,10.0,25.56,10.0,366.74,10.0,272.65,428.11,1015.1,466.03,141.94,75.69,51.6,10.0,22.46,44.11,68.2,331.74,16.44,110.36,226.59,122.25,127.13,918.72,10.0,25.07,53.07,33.21,103.2,163.92,422.73,10.0,531.47,1067.0,10.0,1371.1,267.93,204.94,1017.0,521.54,373.25,361.37,49.0,77.65,215.84,97.83,487.84,35.49,169.94,132.83,10.58,154.64,664.62,39.23,202.17,11.07,468.8,174.99,33.86,25.72,40.21,165.38,312.86,143.9,3055.2,1373.7,10.0,97.5,661.53,667.23,339.23,295.28,270.05,101.08,34.35,18.23,170.92,76.99,1039.2,10.0,64.46,96.36,118.83,337.28,253.93,10.0,244.33,391.32,50.46,208.52,202.33,385.29,33.04,120.62,96.53,140.31,168.64,1858.4,10.0,10.0,90.02,72.92,10.0,42.65,28.32,176.78,25.07,488.82,10.0,58.11,44.93,620.35,909.11,10.0,67.23,53.39,56.81,81.71,1
53.3,274.3,144.4,49.6,233.8,53.0,99.2,14.6,22.5,12.0,68.3,35.9,10.0,49.6,10.0,16.3,108.4,52.5,10.0,86.5,137.9,81.9,74.3,82.5,15.4,53.2,91.4,10.0,10.0,206.9,312.1,74.6,17.8,82.8,60.5,61.6,12.2,19.4,10.0,104.4,11.0,89.0,37.6,26.1,32.8,10.0,41.4,10.0,15.5,10.0,59.7,91.5,50.4,10.0,133.9,11.4,10.0,314.3,48.2,73.0,116.9,390.1,44.1,10.0,55.4,10.0,325.7,162.3,85.5,10.0,87.4,10.5,10.0,34.8,41.9,10.0,35.3,54.5,39.1,10.0,10.0,10.0,10.0,67.5,48.4,10.0,132.2,16.7,10.0,83.7,144.9,173.1,24.1,19.6,55.1,10.0,46.9,58.8,62.1,109.3,58.7,10.0,10.0,25.6,34.4,10.0,17.6,17.6,10.0,113.8,113.7,248.7,13.8,197.7,10.0,10.0,104.8,71.7,57.4,98.9,10.0,10.0,10.0,105.3,41.7,86.3,12.6,32.0,10.0,33.0,10.0,10.0,10.0,28.4,266.4,82.2,99.6,18.8,19.9,82.6,0
18.27,873.04,26.89,10.0,775.15,73.07,109.72,98.18,124.82,59.1,10.0,88.9,10.0,10.0,10.0,34.83,1247.1,11.9,105.6,446.29,437.19,40.61,37.16,10.0,21.73,42.14,20.23,10.0,36.79,54.59,80.68,704.88,169.14,79.08,115.18,33.95,14.37,48.07,112.52,72.82,22.6,143.12,20.78,10.0,88.17,17.65,48.0,30.35,23.55,12.12,14.16,10.0,190.36,10.0,10.0,24.31,10.0,93.74,10.0,33.48,169.62,308.08,510.34,1081.3,10.0,10.55,271.98,120.96,588.65,660.7,13.17,410.37,329.59,100.0,12.41,980.76,124.24,21.76,112.19,10.0,42.1,37.92,49.53,172.45,20.16,51.82,97.71,10.0,10.0,10.0,390.58,727.59,28.17,278.42,67.1,301.6,13.94,243.6,652.84,12.85,142.43,38.17,57.17,57.53,13.94,89.23,18.81,10.0,637.16,100.36,10.0,16.56,194.43,42.69,15.43,107.72,28.93,20.02,17.87,34.9,14.59,10.0,69.76,116.99,210.34,10.0,127.55,15.07,36.94,382.57,138.43,184.79,190.47,66.52,1149.7,34.06,11.86,45.74,56.91,113.5,0
128.74,664.8,65.46,10.0,46.67,35.55,31.52,76.5,47.08,39.1,46.59,14.11,10.32,19.19,114.71,10.0,104.71,22.73,96.33,44.01,75.29,35.79,139.54,10.48,27.89,71.34,28.62,10.0,475.2,513.01,629.49,100.52,30.07,10.64,30.47,20.31,23.3,10.0,14.59,348.48,26.04,85.85,123.66,43.29,14.67,1120.3,39.82,11.93,34.99,10.0,58.52,193.87,370.73,10.0,364.04,1369.3,10.0,942.1,219.02,281.57,1065.4,654.72,402.01,10.0,43.69,10.0,71.58,29.99,113.02,15.64,152.84,10.0,10.0,194.59,696.88,24.18,10.0,66.83,151.31,329.3,10.0,10.0,10.0,63.76,288.35,10.0,2004.4,1013.4,10.0,154.37,106.16,81.66,306.56,24.43,215.96,10.0,21.52,10.0,17.57,74.48,858.43,10.0,10.0,99.55,27.89,119.55,282.7,10.0,26.6,39.82,16.45,39.66,34.58,209.75,10.0,76.02,157.35,25.07,310.27,1790.4,10.0,10.0,118.42,39.82,76.1,19.27,10.08,150.1,202.98,19.67,10.0,17.73,10.0,488.18,258.36,45.22,49.98,30.23,23.38,10.0,0
57.54,448.8,35.68,22.46,14.68,74.51,103.66,51.89,98.77,275.74,46.94,69.89,10.0,10.0,53.63,16.91,240.17,18.82,48.62,840.11,1138.6,31.76,40.52,10.0,25.89,19.09,75.27,10.0,51.89,340.68,783.0,541.85,99.15,59.28,56.51,34.1,10.0,30.67,10.0,103.17,29.04,100.02,245.01,108.61,65.81,10.0,48.89,17.4,53.79,65.7,67.49,162.56,250.23,132.49,198.35,116.22,10.0,176.65,148.75,181.49,181.11,279.93,25.29,115.46,41.82,28.61,64.23,17.95,489.64,10.0,50.8,92.95,10.0,80.22,65.59,23.82,43.02,18.17,61.13,10.0,68.58,11.31,162.89,260.62,34.59,10.0,602.33,140.59,10.0,105.51,10.0,160.98,50.25,350.9,304.13,114.86,37.58,584.76,81.8,85.12,171.32,10.0,74.73,64.94,23.28,41.44,176.37,10.0,240.55,120.74,34.81,100.67,43.94,427.69,190.03,69.78,141.46,26.54,55.37,236.69,10.0,10.0,148.26,249.85,10.0,27.36,45.63,69.51,147.66,77.12,19.85,120.14,10.0,99.2,500.41,15.66,145.76,11.75,38.4,10.0,0
48.54,101.17,10.0,10.0,35.17,11.23,455.28,80.92,120.52,32.88,15.91,176.03,10.0,55.01,10.0,10.0,329.18,17.46,233.75,221.53,285.56,55.1,10.0,34.35,37.14,120.93,132.25,43.78,43.86,652.29,114.29,232.19,11.07,146.76,10.0,15.99,12.87,276.63,10.0,102.16,10.0,82.15,88.71,10.0,33.21,206.53,70.35,39.19,14.51,224.32,195.29,90.92,624.99,10.0,184.55,31.24,10.0,119.78,10.0,260.72,306.8,30.17,10.0,10.0,10.0,390.51,159.06,59.2,877.92,46.49,73.22,18.28,10.0,17.3,78.22,44.68,10.0,11.81,351.4,10.0,495.61,10.0,10.0,88.63,97.16,10.0,87.97,10.0,58.38,490.53,86.58,28.45,183.24,28.2,210.79,53.62,29.19,203.25,18.69,87.73,437.08,10.0,10.0,51.49,95.52,10.0,102.32,10.0,85.19,32.14,45.83,133.23,725.75,10.0,12.79,10.0,47.23,18.37,18.61,27.38,10.0,10.0,11.23,10.0,10.0,25.01,90.19,138.15,203.0,10.0,37.71,148.07,10.0,26.15,796.59,10.0,10.0,10.0,42.72,35.5,0
11.95,831.19,57.91,27.0,139.95,28.92,56.21,127.7,67.87,28.62,10.4,500.54,10.0,10.0,10.0,15.35,277.68,14.24,14.24,169.16,231.57,70.75,10.0,12.1,10.0,75.4,87.64,10.0,57.4,71.78,512.94,165.69,27.37,46.62,65.07,37.62,10.0,17.78,10.0,52.38,21.62,249.2,32.24,49.28,38.29,37.92,44.93,10.0,21.17,12.39,35.04,110.07,42.12,10.0,37.4,351.3,22.8,162.3,16.67,44.93,151.16,189.96,581.62,124.68,31.06,10.0,131.24,52.97,127.55,22.43,28.11,98.71,10.0,25.97,70.82,28.99,37.03,10.0,91.99,23.83,12.76,10.0,42.71,55.4,22.21,10.0,230.54,31.28,10.0,14.98,112.95,158.91,31.65,40.94,105.05,50.83,61.6,75.32,14.02,10.0,127.92,10.0,52.45,113.98,12.25,33.79,24.2,10.0,172.26,332.49,48.99,142.68,69.79,192.03,25.53,125.71,142.38,38.07,117.74,266.17,10.0,10.0,328.51,103.87,10.0,22.13,13.5,76.58,106.9,87.86,54.52,222.35,12.84,64.48,362.3,16.75,45.96,37.55,49.58,10.0,0
37.22,168.09,10.0,52.64,165.78,101.94,28.25,33.69,10.0,21.33,56.17,15.96,18.81,54.74,14.6,32.4,176.79,58.88,10.0,28.87,73.83,135.83,59.36,98.48,10.8,20.31,322.88,10.0,19.7,144.39,537.83,94.81,23.91,140.11,118.72,29.2,13.18,16.98,10.0,156.0,10.0,46.12,207.28,10.0,18.07,10.0,55.28,10.0,25.33,10.0,165.51,52.91,96.58,10.0,10.0,16.84,10.0,99.09,44.62,35.66,59.63,146.02,16.71,10.0,32.53,10.0,685.14,320.97,111.86,10.0,43.26,10.0,10.0,10.0,32.13,10.0,24.65,16.91,94.06,10.0,10.0,10.0,10.0,36.68,47.95,10.0,751.36,192.27,27.24,68.66,415.92,165.99,16.5,24.25,24.59,14.6,37.49,10.53,50.12,21.33,81.3,10.0,66.69,58.61,56.91,10.0,15.69,10.0,10.0,150.16,53.79,85.17,10.0,160.55,10.0,10.0,69.82,74.03,82.59,159.67,10.0,10.0,30.22,10.0,152.0,90.47,10.73,33.96,10.0,54.13,10.0,10.0,10.0,18.81,209.32,106.97,99.23,12.63,10.0,161.51,0
